,15826,11608,10802,12981,7772,13254,13255,16106,16107,5457,4841,16891,10531,14017,4592,7782,3074,265,266,10787,5905,5759,6263,17399,17400,10262,7376,15017,16969,15045,15937,7963,250,1584,11847,7199,11593,4139,2777,17543,13998,1068,9885,1164,14669,6143,13873,9209,9210,3592,2140,15537,16920,16921,5300,17362,3228,3229,3230,6229,8812,4878,13538,17584,8123,11026,9200,9201,7081,11118,9889,6675,7980,14410,2858,8299,14961,8082,8716
distanceFromCentroidInMeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
issue,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED,TAXON_MATCH_TAXON_ID_IGNORED
mediaType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasCoordinate,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hasGeospatialIssues,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
taxonKey,1429207,1425216,1429173,1428248,7936251,1424038,1424038,1425216,1425216,1429194,1428345,1425177,1423540,1425240,1429717,1425177,1425146,7936251,7936251,1428686,1421980,1427915,1421974,1424038,1424038,1429717,1427067,1427915,1422001,1427883,1429173,1428217,1423011,5051273,1422001,1428686,1428686,1429194,1428686,1429178,1429969,5051775,5051273,1428686,1424038,1429717,1427037,1424038,1424038,1424045,1427067,1429173,1424045,1424045,1425177,1429194,1424207,1424207,1424207,1421964,1427883,1430023,1428217,1427037,1425177,1427037,1429997,1429997,1430083,1429173,1424038,1427067,1428583,1429969,5051775,1426293,1428217,1427037,1428334
acceptedTaxonKey,1429207,1425216,1429173,1428248,7936251,1424038,1424038,1425216,1425216,1429194,1428345,1425177,1423540,1425240,1429717,1425177,1425146,7936251,7936251,1428686,1421980,1427915,1421974,1424038,1424038,1429717,1427067,1427915,1422001,1427883,1429173,1428217,1423011,5051273,1422001,1428686,1428686,1429194,1428686,1429178,1429969,5051775,5051273,1428686,1424038,1429717,1427037,1424038,1424038,1424045,1427067,1429173,1424045,1424045,1425177,1429194,1424207,1424207,1424207,1421964,1427883,1430023,1428217,1427037,1425177,1427037,1429997,1429997,1430083,1429173,1424038,1427067,1428583,1429969,5051775,1426293,1428217,1427037,1428334
kingdomKey,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
phylumKey,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
classKey,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216
orderKey,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789
familyKey,5936.0,4209.0,5936.0,5936.0,4483.0,4489.0,4489.0,4209.0,4209.0,5936.0,5936.0,4209.0,8577.0,4209.0,7009.0,4209.0,4209.0,4483.0,4483.0,5936.0,8577.0,5936.0,8577.0,4489.0,4489.0,7009.0,4211.0,5936.0,8577.0,5936.0,5936.0,5936.0,8577.0,8577.0,8577.0,5936.0,5936.0,5936.0,5936.0,5936.0,7009.0,4209.0,8577.0,5936.0,4489.0,7009.0,4211.0,4489.0,4489.0,4489.0,4211.0,5936.0,4489.0,4489.0,4209.0,5936.0,4489.0,4489.0,4489.0,8577.0,5936.0,7009.0,5936.0,4211.0,4209.0,4211.0,7009.0,7009.0,7009.0,5936.0,4489.0,4211.0,5936.0,7009.0,4209.0,4486.0,5936.0,4211.0,5936.0
genusKey,1429171.0,1425165.0,1429171.0,1428195.0,1421157.0,1423980.0,1423980.0,1425165.0,1425165.0,1429171.0,1428195.0,1425165.0,7953343.0,1425165.0,1429716.0,1425165.0,7236015.0,1421157.0,1421157.0,1428581.0,1421959.0,1427882.0,1421959.0,1423980.0,1423980.0,1429716.0,1427007.0,1427882.0,1421959.0,1427882.0,1429171.0,1428195.0,8167819.0,1422099.0,1421959.0,1428581.0,1428581.0,1429171.0,1428581.0,1429171.0,1429956.0,1424815.0,1422099.0,1428581.0,1423980.0,1429716.0,1427007.0,1423980.0,1423980.0,1423980.0,1427007.0,1429171.0,1423980.0,1423980.0,1425165.0,1429171.0,7977178.0,7977178.0,7977178.0,1421959.0,1427882.0,1429956.0,1428195.0,1427007.0,1425165.0,1427007.0,1429956.0,1429956.0,1430081.0,1429171.0,1423980.0,1427007.0,1428581.0,1429956.0,1424815.0,1426230.0,1428195.0,1427007.0,1428195.0
subgenusKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speciesKey,1429207.0,1425216.0,1429173.0,1428248.0,7936251.0,1424038.0,1424038.0,1425216.0,1425216.0,1429194.0,1428345.0,1425177.0,1423540.0,1425240.0,1429717.0,1425177.0,1425146.0,7936251.0,7936251.0,1428686.0,1421980.0,1427915.0,1421974.0,1424038.0,1424038.0,1429717.0,1427067.0,1427915.0,1422001.0,1427883.0,1429173.0,1428217.0,1423011.0,5051273.0,1422001.0,1428686.0,1428686.0,1429194.0,1428686.0,1429178.0,1429969.0,5051775.0,5051273.0,1428686.0,1424038.0,1429717.0,1427037.0,1424038.0,1424038.0,1424045.0,1427067.0,1429173.0,1424045.0,1424045.0,1425177.0,1429194.0,1424207.0,1424207.0,1424207.0,1421964.0,1427883.0,1430023.0,1428217.0,1427037.0,1425177.0,1427037.0,1429997.0,1429997.0,1430083.0,1429173.0,1424038.0,1427067.0,1428583.0,1429969.0,5051775.0,1426293.0,1428217.0,1427037.0,1428334.0
species,Leucorrhinia dubia,Aeshna caerulea,Leucorrhinia rubicunda,Sympetrum flaveolum,Cordulegaster boltonii,Lestes sponsa,Lestes sponsa,Aeshna caerulea,Aeshna caerulea,Leucorrhinia pectoralis,Sympetrum striolatum,Aeshna mixta,Pyrrhosoma nymphula,Aeshna cyanea,Cordulia aenea,Aeshna mixta,Brachytron pratense,Cordulegaster boltonii,Cordulegaster boltonii,Orthetrum cancellatum,Coenagrion pulchellum,Libellula quadrimaculata,Coenagrion johanssoni,Lestes sponsa,Lestes sponsa,Cordulia aenea,Calopteryx splendens,Libellula quadrimaculata,Coenagrion hastulatum,Libellula depressa,Leucorrhinia rubicunda,Sympetrum sanguineum,Erythromma viridulum,Enallagma cyathigerum,Coenagrion hastulatum,Orthetrum cancellatum,Orthetrum cancellatum,Leucorrhinia pectoralis,Orthetrum cancellatum,Leucorrhinia caudalis,Somatochlora flavomaculata,Anax imperator,Enallagma cyathigerum,Orthetrum cancellatum,Lestes sponsa,Cordulia aenea,Calopteryx virgo,Lestes sponsa,Lestes sponsa,Lestes dryas,Calopteryx splendens,Leucorrhinia rubicunda,Lestes dryas,Lestes dryas,Aeshna mixta,Leucorrhinia pectoralis,Sympecma fusca,Sympecma fusca,Sympecma fusca,Coenagrion puella,Libellula depressa,Somatochlora metallica,Sympetrum sanguineum,Calopteryx virgo,Aeshna mixta,Calopteryx virgo,Somatochlora arctica,Somatochlora arctica,Epitheca bimaculata,Leucorrhinia rubicunda,Lestes sponsa,Calopteryx splendens,Orthetrum coerulescens,Somatochlora flavomaculata,Anax imperator,Onychogomphus forcipatus,Sympetrum sanguineum,Calopteryx virgo,Sympetrum danae
acceptedScientificName,"Leucorrhinia dubia (Vander Linden, 1825)","Aeshna caerulea (Ström, 1783)","Leucorrhinia rubicunda (Linnaeus, 1758)","Sympetrum flaveolum (Linnaeus, 1758)","Cordulegaster boltonii (Donovan, 1807)","Lestes sponsa (Hansemann, 1823)","Lestes sponsa (Hansemann, 1823)","Aeshna caerulea (Ström, 1783)","Aeshna caerulea (Ström, 1783)","Leucorrhinia pectoralis (Charpentier, 1825)","Sympetrum striolatum (Charpentier, 1840)","Aeshna mixta Latreille, 1805","Pyrrhosoma nymphula (Sulzer, 1776)","Aeshna cyanea (Müller, 1764)","Cordulia aenea (Linnaeus, 1758)","Aeshna mixta Latreille, 1805","Brachytron pratense (Müller, 1764)","Cordulegaster boltonii (Donovan, 1807)","Cordulegaster boltonii (Donovan, 1807)","Orthetrum cancellatum (Linnaeus, 1758)","Coenagrion pulchellum (Vander Linden, 1825)","Libellula quadrimaculata Linnaeus, 1758","Coenagrion johanssoni (Wallengren, 1894)","Lestes sponsa (Hansemann, 1823)","Lestes sponsa (Hansemann, 1823)","Cordulia aenea (Linnaeus, 1758)","Calopteryx splendens (Harris, 1780)","Libellula quadrimaculata Linnaeus, 1758","Coenagrion hastulatum (Charpentier, 1825)","Libellula depressa Linnaeus, 1758","Leucorrhinia rubicunda (Linnaeus, 1758)","Sympetrum sanguineum (Müller, 1764)","Erythromma viridulum (Charpentier, 1840)","Enallagma cyathigerum (Charpentier, 1840)","Coenagrion hastulatum (Charpentier, 1825)","Orthetrum cancellatum (Linnaeus, 1758)","Orthetrum cancellatum (Linnaeus, 1758)","Leucorrhinia pectoralis (Charpentier, 1825)","Orthetrum cancellatum (Linnaeus, 1758)","Leucorrhinia caudalis (Charpentier, 1840)","Somatochlora flavomaculata (Vander Linden, 1825)","Anax imperator Leach, 1815","Enallagma cyathigerum (Charpentier, 1840)","Orthetrum cancellatum (Linnaeus, 1758)","Lestes sponsa (Hansemann, 1823)","Cordulia aenea (Linnaeus, 1758)","Calopteryx virgo (Linnaeus, 1758)","Lestes sponsa (Hansemann, 1823)","Lestes sponsa (Hansemann, 1823)","Lestes dryas Kirby, 1890","Calopteryx splendens (Harris, 1780)","Leucorrhinia rubicunda (Linnaeus, 1758)","Lestes dryas Kirby, 1890","Lestes dryas Kirby, 1890","Aeshna mixta Latreille, 1805","Leucorrhinia pectoralis (Charpentier, 1825)","Sympecma fusca (Vander Linden, 1820)","Sympecma fusca (Vander Linden, 1820)","Sympecma fusca (Vander Linden, 1820)","Coenagrion puella (Linnaeus, 1758)","Libellula depressa Linnaeus, 1758","Somatochlora metallica (Vander Linden, 1825)","Sympetrum sanguineum (Müller, 1764)","Calopteryx virgo (Linnaeus, 1758)","Aeshna mixta Latreille, 1805","Calopteryx virgo (Linnaeus, 1758)","Somatochlora arctica (Zetterstedt, 1840)","Somatochlora arctica (Zetterstedt, 1840)","Epitheca bimaculata (Charpentier, 1825)","Leucorrhinia rubicunda (Linnaeus, 1758)","Lestes sponsa (Hansemann, 1823)","Calopteryx splendens (Harris, 1780)","Orthetrum coerulescens (Fabricius, 1798)","Somatochlora flavomaculata (Vander Linden, 1825)","Anax imperator Leach, 1815","Onychogomphus forcipatus (Linnaeus, 1758)","Sympetrum sanguineum (Müller, 1764)","Calopteryx virgo (Linnaeus, 1758)","Sympetrum danae (Sulzer, 1776)"
verbatimScientificName,Leucorrhinia dubia,Aeshna caerulea,Leucorrhinia rubicunda,Sympetrum flaveolum,Cordulegaster boltonii,Lestes sponsa,Lestes sponsa,Aeshna caerulea,Aeshna caerulea,Leucorrhinia pectoralis,Sympetrum striolatum,Aeshna mixta,Pyrrhosoma nymphula,Aeshna cyanea,Cordulia aenea,Aeshna mixta,Brachytron pratense,Cordulegaster boltonii,Cordulegaster boltonii,Orthetrum cancellatum,Coenagrion pulchellum,Libellula quadrimaculata,Coenagrion johanssoni,Lestes sponsa,Lestes sponsa,Cordulia aenea,Calopteryx splendens,Libellula quadrimaculata,Coenagrion hastulatum,Libellula depressa,Leucorrhinia rubicunda,Sympetrum sanguineum,Erythromma viridulum,Enallagma cyathigerum,Coenagrion hastulatum,Orthetrum cancellatum,Orthetrum cancellatum,Leucorrhinia pectoralis,Orthetrum cancellatum,Leucorrhinia caudalis,Somatochlora flavomaculata,Anax imperator,Enallagma cyathigerum,Orthetrum cancellatum,Lestes sponsa,Cordulia aenea,Calopteryx virgo,Lestes sponsa,Lestes sponsa,Lestes dryas,Calopteryx splendens,Leucorrhinia rubicunda,Lestes dryas,Lestes dryas,Aeshna mixta,Leucorrhinia pectoralis,Sympecma fusca,Sympecma fusca,Sympecma fusca,Coenagrion puella,Libellula depressa,Somatochlora metallica,Sympetrum sanguineum,Calopteryx virgo,Aeshna mixta,Calopteryx virgo,Somatochlora arctica,Somatochlora arctica,Epitheca bimaculata,Leucorrhinia rubicunda,Lestes sponsa,Calopteryx splendens,Orthetrum coerulescens,Somatochlora flavomaculata,Anax imperator,Onychogomphus forcipatus,Sympetrum sanguineum,Calopteryx virgo,Sympetrum danae
typifiedName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protocol,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML,EML
lastParsed,2025-06-10T18:39:57.256Z,2025-06-10T18:22:58.520Z,2025-06-10T18:30:09.047Z,2025-06-10T18:24:21.832Z,2025-06-10T18:24:26.878Z,2025-06-10T18:39:52.732Z,2025-06-10T18:39:52.732Z,2025-06-10T18:27:43.016Z,2025-06-10T18:27:43.016Z,2025-06-10T18:42:08.926Z,2025-06-10T18:28:07.304Z,2025-06-10T18:26:57.080Z,2025-06-10T18:25:37.089Z,2025-06-10T18:33:19.759Z,2025-06-10T18:26:28.699Z,2025-06-10T18:28:15.498Z,2025-06-10T18:27:51.634Z,2025-06-10T18:33:54.580Z,2025-06-10T18:33:54.580Z,2025-06-10T18:39:21.381Z,2025-06-10T18:26:55.170Z,2025-06-10T18:25:45.920Z,2025-06-10T18:32:13.823Z,2025-06-10T18:31:06.383Z,2025-06-10T18:31:06.383Z,2025-06-10T18:31:22.604Z,2025-06-10T18:31:29.995Z,2025-06-10T18:39:05.981Z,2025-06-10T18:40:37.931Z,2025-06-10T18:39:24.605Z,2025-06-10T18:32:50.436Z,2025-06-10T18:30:50.489Z,2025-06-10T18:40:04.761Z,2025-06-10T18:27:46.956Z,2025-06-10T18:19:56.399Z,2025-06-10T18:39:38.915Z,2025-06-10T18:28:20.370Z,2025-06-10T18:27:14.898Z,2025-06-10T18:24:21.510Z,2025-06-10T18:22:40.402Z,2025-06-10T18:20:29.859Z,2025-06-10T18:39:48.655Z,2025-06-10T18:23:33.572Z,2025-06-10T18:24:16.031Z,2025-06-10T18:30:24.971Z,2025-06-10T18:28:14.470Z,2025-06-10T18:29:21.747Z,2025-06-10T18:28:26.370Z,2025-06-10T18:28:26.370Z,2025-06-10T18:20:39.836Z,2025-06-10T18:39:25.324Z,2025-06-10T18:39:17.422Z,2025-06-10T18:25:49.807Z,2025-06-10T18:25:49.807Z,2025-06-10T18:39:35.302Z,2025-06-10T18:25:34.642Z,2025-06-10T18:25:06.497Z,2025-06-10T18:25:06.497Z,2025-06-10T18:25:06.497Z,2025-06-10T18:26:50.058Z,2025-06-10T18:23:10.672Z,2025-06-10T18:27:19.798Z,2025-06-10T18:39:53.425Z,2025-06-10T18:31:38.898Z,2025-06-10T18:39:40.205Z,2025-06-10T18:20:11.346Z,2025-06-10T18:39:08.779Z,2025-06-10T18:39:08.779Z,2025-06-10T18:28:25.083Z,2025-06-10T18:28:28.112Z,2025-06-10T18:26:28.838Z,2025-06-10T18:40:06.696Z,2025-06-10T18:28:18.067Z,2025-06-10T18:39:54.669Z,2025-06-10T18:33:20.555Z,2025-06-10T18:29:42.161Z,2025-06-10T18:40:33.880Z,2025-06-10T18:27:56.446Z,2025-06-10T18:25:21.189Z
lastCrawled,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z,2025-06-10T12:06:05.798Z
repatriated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
relativeOrganismQuantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
projectId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isSequenced,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gbifRegion,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE
publishedByGbifRegion,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE,EUROPE
level0Gid,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE
